 Statistics List (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
5,                    Multicultural Households and Household Members by Composition of Multicultural Household,Statistics Table,Statistics Korea,5Annual (2010 ~ 2010),Statistical Database -> Population -> Population Census -> Household -> Household By Census (2010) -> Multicultural Households and Household Members by Composition of Multicultural Household, -> A -> A_4 -> A12 -> A12_2010 -> 
4,               Household By Census (2005),,,,Statistical Database -> Population -> Population Census -> Household -> Household By Census (2005), -> A -> A_4 -> A12 -> A12B
5,                    Households and Household Members by Type of Household,Statistics Table,Statistics Korea,5Annual (2005 ~ 2005),Statistical Database -> Population -> Population Census -> Household -> Household By Census (2005) -> Households and Household Members by Type of Household, -> A -> A_4 -> A12 -> A12B -> 
4,               Household By Census (2000),,,,Statistical Database -> Population -> Population Census -> Household -> Household By Census (2000), -> A -> A_4 -> A12 -> A122
5,                    Households and Household Members by Administrative District,Statistics Table,Statistics Korea,5Annual (2000 ~ 2000),Statistical Database -> Population -> Population Census -> Household -> Household By Census (2000) -> Households and Household Members by Administrative District, -> A -> A_4 -> A12 -> A122 -> 
3,          Time Series Connect,,,,Statistical Database -> Population -> Population Census -> Time Series Connect, -> A -> A_4 -> A1_10
4,"               Eup, Myeon, Dong",,,,"Statistical Database -> Population -> Population Census -> Time Series Connect -> Eup, Myeon, Dong", -> A -> A_4 -> A1_10 -> A1_10_10
5,                    Population trends on 2010 administrative divisions (2000-2010),Statistics Table,Statistics Korea,Annual (2000 ~ 2010),"Statistical Database -> Population -> Population Census -> Time Series Connect -> Eup, Myeon, Dong -> Population trends on 2010 administrative divisions (2000-2010)", -> A -> A_4 -> A1_10 -> A1_10_10 -> 
5,"                    Housing units classified by 2010 administrative district (eup, myeon, dong)",Statistics Table,Statistics Korea,Annual (2000 ~ 2010),"Statistical Database -> Population -> Population Census -> Time Series Connect -> Eup, Myeon, Dong -> Housing units classified by 2010 administrative district (eup, myeon, dong)", -> A -> A_4 -> A1_10 -> A1_10_10 -> 
4,"               Si, Gun, Gu",,,,"Statistical Database -> Population -> Population Census -> Time Series Connect -> Si, Gun, Gu", -> A -> A_4 -> A1_10 -> A1_10_20
5,                    Population trends on 2010 administrative divisions (1975-2010),Statistics Table,Statistics Korea,Annual (1975 ~ 2010),"Statistical Database -> Population -> Population Census -> Time Series Connect -> Si, Gun, Gu -> Population trends on 2010 administrative divisions (1975-2010)", -> A -> A_4 -> A1_10 -> A1_10_20 -> 
5,"                    Housing units classified by 2010 administrative district (si, gun, gu)",Statistics Table,Statistics Korea,Annual (1990 ~ 2010),"Statistical Database -> Population -> Population Census -> Time Series Connect -> Si, Gun, Gu -> Housing units classified by 2010 administrative district (si, gun, gu)", -> A -> A_4 -> A1_10 -> A1_10_20 -> 
3,          Population Density,,,,Statistical Database -> Population -> Population Census -> Population Density, -> A -> A_4 -> A1_13
4,               Population density by Population Census,Statistics Table,Statistics Korea,Annual (1966 ~ 2022),Statistical Database -> Population -> Population Census -> Population Density -> Population density by Population Census, -> A -> A_4 -> A1_13 -> 
2,     Internal Migration Statistics,,,,Statistical Database -> Population -> Internal Migration Statistics, -> A -> A_1
3,          The Number Of Migrants By Sex/Age(5-Year-Old) Specific,,,,Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific, -> A -> A_1 -> A34_3
4,"               Number of internal migrants by sex for city, county, and district",Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Number of internal migrants by sex for city, county, and district", -> A -> A_1 -> A34_3 -> 
4,"               Number of internal migrants by five-year age groups for city, county, and district",Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Number of internal migrants by five-year age groups for city, county, and district", -> A -> A_1 -> A34_3 -> 
4,               Number of internal migrants by sex and five-year age groups for province,Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)",Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Number of internal migrants by sex and five-year age groups for province, -> A -> A_1 -> A34_3 -> 
4,"               Number of internal migrants by sex and five-year age groups for city, county, and district",Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Number of internal migrants by sex and five-year age groups for city, county, and district", -> A -> A_1 -> A34_3 -> 
4,"               Net internal migration by sex and five-year age groups for city, county, and districts",Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Net internal migration by sex and five-year age groups for city, county, and districts", -> A -> A_1 -> A34_3 -> 
4,"               Number of internal migrants by origin and destination, sex, and five-year age groups for province",Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Number of internal migrants by origin and destination, sex, and five-year age groups for province", -> A -> A_1 -> A34_3 -> 
4,"               Internal migration rates by sex and five-year age groups for city, county, and district",Statistics Table,Statistics Korea,Annual (1970 ~ 2023),"Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Sex/Age(5-Year-Old) Specific -> Internal migration rates by sex and five-year age groups for city, county, and district", -> A -> A_1 -> A34_3 -> 
3,          The Number Of Migrants By Age(Each Age) Specific,,,,Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Age(Each Age) Specific, -> A -> A_1 -> A34_1
4,               Number of internal migrants by age for province,Statistics Table,Statistics Korea,Annual (2001 ~ 2023),Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrants By Age(Each Age) Specific -> Number of internal migrants by age for province, -> A -> A_1 -> A34_1 -> 
3,          The Number Of Migrations,,,,Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrations, -> A -> A_1 -> A34_2
4,"               Number of internal migration for city, county, and district",Statistics Table,Statistics Korea,"Annual (2001 ~ 2023) , Quarterly (200101 ~ 202401) , Monthly (200101 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrations -> Number of internal migration for city, county, and district", -> A -> A_1 -> A34_2 -> 
4,               Number of internal migration by household size and origin and destination for province,Statistics Table,Statistics Korea,"Annual (2001 ~ 2023) , Quarterly (200101 ~ 202401) , Monthly (200101 ~ 202403)",Statistical Database -> Population -> Internal Migration Statistics -> The Number Of Migrations -> Number of internal migration by household size and origin and destination for province, -> A -> A_1 -> A34_2 -> 
3,"          Number of internal migrants for city, county, and district",Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)","Statistical Database -> Population -> Internal Migration Statistics -> Number of internal migrants for city, county, and district", -> A -> A_1 -> 
3,          Number of internal migrants by origin and destination for province,Statistics Table,Statistics Korea,"Annual (1970 ~ 2023) , Quarterly (197001 ~ 202401) , Monthly (197001 ~ 202403)",Statistical Database -> Population -> Internal Migration Statistics -> Number of internal migrants by origin and destination for province, -> A -> A_1 -> 
2,     International Migration Statistics,,,,Statistical Database -> Population -> International Migration Statistics, -> A -> A_2
3,          International Migration by Age and Sex(National and foreign),Statistics Table,Statistics Korea,"Annual (2000 ~ 2022) , Monthly (200001 ~ 202310)",Statistical Database -> Population -> International Migration Statistics -> International Migration by Age and Sex(National and foreign), -> A -> A_2 -> 
3,          International migration of foreign by sex and citizenship,Statistics Table,Statistics Korea,"Annual (2000 ~ 2022) , Monthly (201301 ~ 202310)",Statistical Database -> Population -> International Migration Statistics -> International migration of foreign by sex and citizenship, -> A -> A_2 -> 
3,          Number of incoming foreigners by type of visa and citizenship,Statistics Table,Statistics Korea,"Annual (2000 ~ 2022) , Monthly (201301 ~ 202310)",Statistical Database -> Population -> International Migration Statistics -> Number of incoming foreigners by type of visa and citizenship, -> A -> A_2 -> 
3,          Incoming foreigners by age and status of sojourn,Statistics Table,Statistics Korea,"Annual (2000 ~ 2022) , Monthly (201301 ~ 202310)",Statistical Database -> Population -> International Migration Statistics -> Incoming foreigners by age and status of sojourn, -> A -> A_2 -> 
3,          International migration by port of entry and departures and sex(Nationl and Foreign)  ,Statistics Table,Statistics Korea,Annual (2000 ~ 2022),Statistical Database -> Population -> International Migration Statistics -> International migration by port of entry and departures and sex(Nationl and Foreign)  , -> A -> A_2 -> 
3,          Outgoing migrants of Nationals by destination and purpose of stay,Statistics Table,Statistics Korea,Annual (2000 ~ 2005),Statistical Database -> Population -> International Migration Statistics -> Outgoing migrants of Nationals by destination and purpose of stay, -> A -> A_2 -> 
3,          Long-Term International Migration by Sex and Age(Nationals & Foreigners),Statistics Table,Statistics Korea,Annual (2000 ~ 2021),Statistical Database -> Population -> International Migration Statistics -> Long-Term International Migration by Sex and Age(Nationals & Foreigners), -> A -> A_2 -> 
2,"     Vital Statistics(Live Birth,Death,Marriage,Divorce)",,,,"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce)", -> A -> A_3
3,          Vital Statistics of Korea,,,,"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Vital Statistics of Korea", -> A -> A_3 -> A2_6
4,               Vital Statistics of Korea,Statistics Table,Statistics Korea,Annual (1970 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Vital Statistics of Korea -> Vital Statistics of Korea", -> A -> A_3 -> A2_6 -> 
4,               Vital statistics for Provinces (Number and Rate),Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Vital Statistics of Korea -> Vital statistics for Provinces (Number and Rate)", -> A -> A_3 -> A2_6 -> 
4,"               Vital statistics for city, county, and district (Number and Rate)",Statistics Table,Statistics Korea,Annual (2000 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Vital Statistics of Korea -> Vital statistics for city, county, and district (Number and Rate)", -> A -> A_3 -> A2_6 -> 
4,               Live Births and Deaths by administrative districts,Statistics Table,Statistics Korea,Annual (2004 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Vital Statistics of Korea -> Live Births and Deaths by administrative districts", -> A -> A_3 -> A2_6 -> 
3,          Live Birth,,,,"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth", -> A -> A_3 -> A21
4,               Total Fertility Rates and Age-Specific Fertility Rates for Provinces,Statistics Table,Statistics Korea,Annual (1997 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Total Fertility Rates and Age-Specific Fertility Rates for Provinces", -> A -> A_3 -> A21 -> 
4,"               Total Fertility Rates and Age-Specific Fertility Rates for city, county, and district",Statistics Table,Statistics Korea,Annual (2000 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Total Fertility Rates and Age-Specific Fertility Rates for city, county, and district", -> A -> A_3 -> A21 -> 
4,"               Live Births by Age Group of Mother, Sex and Birth Order",Statistics Table,Statistics Korea,Annual (1981 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Live Births by Age Group of Mother, Sex and Birth Order", -> A -> A_3 -> A21 -> 
4,"               Live Births by Age Group of Mother, Sex and Birth Order for Provinces ",Statistics Table,Statistics Korea,Annual (1990 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Live Births by Age Group of Mother, Sex and Birth Order for Provinces ", -> A -> A_3 -> A21 -> 
4,"               Live Births by Sex and Birth Order for city, county, and district",Statistics Table,Statistics Korea,Annual (2000 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Live Births by Sex and Birth Order for city, county, and district", -> A -> A_3 -> A21 -> 
4,               Mean age of Mother by Birth Order for Provinces,Statistics Table,Statistics Korea,Annual (1993 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Mean age of Mother by Birth Order for Provinces", -> A -> A_3 -> A21 -> 
4,               Sex Ratio at Birth by Birth Order for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Sex Ratio at Birth by Birth Order for Provinces", -> A -> A_3 -> A21 -> 
4,"               Live Births by Sex, Period of Pregnancy or Provinces",Statistics Table,Statistics Korea,Annual (1995 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Live Births by Sex, Period of Pregnancy or Provinces", -> A -> A_3 -> A21 -> 
4,               Live Births by Marital Legitimacy for Provinces,Statistics Table,Statistics Korea,Annual (1981 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Live Births by Marital Legitimacy for Provinces", -> A -> A_3 -> A21 -> 
4,               Twin Births by Sex for Provinces,Statistics Table,Statistics Korea,Annual (2000 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Twin Births by Sex for Provinces", -> A -> A_3 -> A21 -> 
4,"               Live Births by Sex and Month for city, county, and district",Statistics Table,Statistics Korea,"Annual (1997 ~ 2022) , Monthly (199701 ~ 202212)","Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Live Birth -> Live Births by Sex and Month for city, county, and district", -> A -> A_3 -> A21 -> 
3,          Death,,,,"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Death", -> A -> A_3 -> A22
4,"               Deaths and Death Rates by Sex, Age Group ",Statistics Table,Statistics Korea,Annual (1983 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Death -> Deaths and Death Rates by Sex, Age Group ", -> A -> A_3 -> A22 -> 
4,               Deaths by Age and Sex: Province,Statistics Table,Statistics Korea,Annual (1983 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Death -> Deaths by Age and Sex: Province", -> A -> A_3 -> A22 -> 
4,"               Death Rates by Sex, Age Group for Provinces",Statistics Table,Statistics Korea,Annual (1996 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Death -> Death Rates by Sex, Age Group for Provinces", -> A -> A_3 -> A22 -> 
4,"               Deaths by Month for city, county, and district",Statistics Table,Statistics Korea,"Annual (1997 ~ 2022) , Monthly (199701 ~ 202212)","Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Death -> Deaths by Month for city, county, and district", -> A -> A_3 -> A22 -> 
4,"               Deaths and Death Rates by Sex and Age Group: Si, Gun, and Gu",Statistics Table,Statistics Korea,Annual (1997 ~ 2022),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Death -> Deaths and Death Rates by Sex and Age Group: Si, Gun, and Gu", -> A -> A_3 -> A22 -> 
3,          Marriage,,,,"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage", -> A -> A_3 -> A23
4,"               Marriages by Month for city, county and district",Statistics Table,Statistics Korea,"Annual (1997 ~ 2023) , Monthly (199701 ~ 202312)","Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Month for city, county and district", -> A -> A_3 -> A23 -> 
4,               General Marriage Rates of Bridegroom and Bride for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> General Marriage Rates of Bridegroom and Bride for Provinces", -> A -> A_3 -> A23 -> 
4,               Age-specific Marriage Rates of Bridegroom and Bride for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Age-specific Marriage Rates of Bridegroom and Bride for Provinces", -> A -> A_3 -> A23 -> 
4,               Marriages by Age of Bridegroom and Bride,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Age of Bridegroom and Bride", -> A -> A_3 -> A23 -> 
4,               Marriages by Age of Bridegroom and Bride for Provinces ,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Age of Bridegroom and Bride for Provinces ", -> A -> A_3 -> A23 -> 
4,               Marriages by Previous Marital Status of Bridegroom and Bride for Provinces ,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Previous Marital Status of Bridegroom and Bride for Provinces ", -> A -> A_3 -> A23 -> 
4,"               Marriages by Marital Status of Bridegroom and Bride for city, county, and district",Statistics Table,Statistics Korea,Annual (2000 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Marital Status of Bridegroom and Bride for city, county, and district", -> A -> A_3 -> A23 -> 
4,               Mean Age at First Marriage of Bridegroom and Bride for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Mean Age at First Marriage of Bridegroom and Bride for Provinces", -> A -> A_3 -> A23 -> 
4,               First Marriages by Age of Bridegroom and Bride,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> First Marriages by Age of Bridegroom and Bride", -> A -> A_3 -> A23 -> 
4,               Marriages by Age Group of Bridegroom and Bride at First Marriage for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Age Group of Bridegroom and Bride at First Marriage for Provinces", -> A -> A_3 -> A23 -> 
4,               Marriages by Age Group of Bridegroom and Bride at ReMarriage for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages by Age Group of Bridegroom and Bride at ReMarriage for Provinces", -> A -> A_3 -> A23 -> 
4,               Marriages of between Korean Bridegroom(by Marital Status) and Foreign Bride(by Nationality),Statistics Table,Statistics Korea,Annual (1993 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages of between Korean Bridegroom(by Marital Status) and Foreign Bride(by Nationality)", -> A -> A_3 -> A23 -> 
4,               Marriages of between Korean Bride(by Marital Status) and Foreign Bridegroom(by Nationality),Statistics Table,Statistics Korea,Annual (1993 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages of between Korean Bride(by Marital Status) and Foreign Bridegroom(by Nationality)", -> A -> A_3 -> A23 -> 
4,"               Marriages to Foreigners for city, county, and district",Statistics Table,Statistics Korea,Annual (2000 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Marriage -> Marriages to Foreigners for city, county, and district", -> A -> A_3 -> A23 -> 
3,          Divorce,,,,"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Divorce", -> A -> A_3 -> A24
4,"               Divorces by Month for city, county and district",Statistics Table,Statistics Korea,"Annual (1997 ~ 2023) , Monthly (199701 ~ 202312)","Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Divorce -> Divorces by Month for city, county and district", -> A -> A_3 -> A24 -> 
4,               General Divorces Rates of Husband and Wife for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Divorce -> General Divorces Rates of Husband and Wife for Provinces", -> A -> A_3 -> A24 -> 
4,               Age-specific Divorce Rates of Husband and Wife for Provinces,Statistics Table,Statistics Korea,Annual (1990 ~ 2023),"Statistical Database -> Population -> Vital Statistics(Live Birth,Death,Marriage,Divorce) -> Divorce -> Age-specific Divorce Rates of Husband and Wife for Provinces", -> A -> A_3 -> A24 -> 
